_id	style	bib	resBib	author	bookTitle	container	date	doi	edition	editor	journal	location	pages	publisher	title	translator	url	volume	total
5ab9ab5325f15f355762988e	diatom-research	Allen R. B. 2011. Weaving Content with Coordination Widgets. D-Lib Magazine 17. 	{:author=>"Allen R. B.", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 17."}	33.0	88	-	0.000	-	-	-	-	-	-	-	15	-	-	-	34.0	
5ab9ab5325f15f355762988e	annual-reviews-author-date	Allen RB. 2011. Weaving Content with Coordination Widgets. D-Lib Magazine. 17(11/12): 	{:author=>"Allen RB.", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine.", :url=>"17(11/12):"}	40.0	-	-	0.000	-	-	-	-	-	-	-	29	-	-	-	23.0	
5ab9ab5325f15f355762988e	journal-of-music-technology-and-education	 Allen, R. B. (2011), 'Weaving Content with Coordination Widgets', D-Lib Magazine, 17:11/12 https://doi.org/10.1045/november2011-allen 	{:author=>"Allen, R. B.", :date=>"(2011),", :title=>"'Weaving Content with Coordination Widgets', D-Lib", :journal=>"Magazine,", :volume=>"17: 11/12", :url=>"https://doi.org/10.1045/november2011-allen"}	33.5	-	-	0.000	-	-	-	50	-	-	-	18	-	-	78	35.9	
5ab9ab5325f15f355762988e	journal-of-antimicrobial-chemotherapy	1. Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine 2011; 17. Available at: https://doi.org/10.1045/november2011-allen. 	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine", :date=>"2011; 17.", :note=>"Available at:", :url=>"https://doi.org/10.1045/november2011-allen."}	60.0	-	-	50	-	-	-	-	-	-	-	28	-	-	-	46.0	
5ab9ab5325f15f355762988e	culture-medicine-and-psychiatry	Allen, Robert B. 2011 Weaving Content with Coordination Widgets. D-Lib Magazine 17(11/12). D-Lib Magazine. Retrieved. from https://doi.org/10.1045/november2011-allen. 	{:author=>"Allen, Robert B.", :date=>"2011", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine 17(11/12). D-Lib Magazine.", :accessed=>"Retrieved. from", :url=>"https://doi.org/10.1045/november2011-allen."}	5.0	-	-	0.000	-	-	-	-	-	-	-	51	-	-	-	18.666666666666668	
5ab9ab5325f15f355762988e	associacao-brasileira-de-normas-tecnicas-ufmg-face-full	ALLEN, Robert B. Weaving Content with Coordination Widgets. D-Lib Magazine, D-Lib Magazine. v. 17, n. 11/12, 2011. Disponível em: <https://doi.org/10.1045/november2011-allen>. 	{:author=>"ALLEN, Robert B.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine, D-Lib Magazine.", :journal=>"v.", :volume=>"17, n. 11/12,", :date=>"2011.", :note=>"Disponível em: <https://doi.org/10.1045/november2011-allen>."}	45.0	-	-	0.000	-	-	-	100	-	-	-	45	-	-	85	55.0	
5ab9ab5325f15f355762988e	memorias-do-instituto-oswaldo-cruz	Allen RB 2011. Weaving Content with Coordination Widgets. D-Lib Magazine 17. 	{:author=>"Allen RB", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 17."}	47.0	88	-	0.000	-	-	-	-	-	-	-	15	-	-	-	37.5	
5ab9ab5325f15f355762988e	veterinary-pathology	1. Allen RB. Weaving Content with Coordination Widgets. 2011;17.  	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets.", :date=>"2011;17."}	60.0	-	-	43	-	-	-	-	-	-	-	2	-	-	-	35.0	
5ab9ab5325f15f355762988e	the-journal-of-molecular-diagnostics	1.Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine, 2011, 17 	{:author=>"1.Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :journal=>"Magazine,", :volume=>"2011,", :pages=>"17"}	53.0	-	-	-	-	-	-	50	-	-	-	15	-	-	80	49.5	
5ab9ab5325f15f355762988e	computer-und-recht	Allen, Weaving Content with Coordination Widgets, 2011 	{:author=>"Allen,", :title=>"Weaving Content with Coordination Widgets,", :date=>"2011"}	67.0	-	-	0.000	-	-	-	-	-	-	-	2	-	-	-	23.0	
5ab9ab5325f15f355762988e	journal-of-the-american-college-of-cardiology	1. Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine 2011;17. Available at: https://doi.org/10.1045/november2011-allen. 	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 2011;17. Available at:", :url=>"https://doi.org/10.1045/november2011-allen."}	60.0	80	-	-	-	-	-	-	-	-	-	15	-	-	-	51.666666666666664	
5ab9ab5325f15f355762988e	revue-d-elevage-et-de-medecine-veterinaire-des-pays-tropicaux	Allen R.B., 2011. Weaving Content with Coordination Widgets. D-Lib Magazine, 17 (11/12): , doi: 10.1045/november2011-allen 	{:author=>"Allen R.B.,", :date=>["2011.", "( 11/12):"], :title=>"Weaving Content with Coordination Widgets.", :journal=>"D-Lib Magazine,", :volume=>"17", :location=>",", :doi=>"doi: 10.1045/november2011-allen"}	40.0	-	-	0.000	16	-	-	7	5ab9b92b25f15f355762ea20	diatom-research	Alon N. & Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon N. & Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	annual-reviews-author-date	Alon N, Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52: 	{:author=>"Alon N, Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52:"}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	journal-of-music-technology-and-education	 Alon, N. and Fischer, E. (1999), 'Refining the Graph Density Condition for the Existence of Almost K-factors', Ars Comb., 52 	{:author=>"Alon, N. and Fischer, E.", :date=>"(1999),", :title=>"'Refining the Graph Density Condition for the Existence of Almost K-factors',", :journal=>"Ars Comb.,", :volume=>"52"}	62.333333333333336	-	-	0.000	-	-	-	10	-	-	-	4	-	-	0	15.26666666666667	
5ab9b92b25f15f355762ea20	journal-of-antimicrobial-chemotherapy	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb 1999; 52. 	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb", :date=>"1999;", :pages=>"52."}	52.5	-	-	20	-	-	-	11	-	-	-	1	-	-	-	21.125	
5ab9b92b25f15f355762ea20	culture-medicine-and-psychiatry	Alon, Noga, and Eldar Fischer 1999 Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. Ars Comb. 	{:author=>"Alon, Noga, and Eldar Fischer", :date=>"1999", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb. 52. Ars Comb."}	27.0	-	-	0.000	-	-	-	61	-	-	-	1	-	-	-	22.25	
5ab9b92b25f15f355762ea20	associacao-brasileira-de-normas-tecnicas-ufmg-face-full	ALON, Noga; FISCHER, Eldar. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb., Ars Comb. v. 52, 1999. 	{:author=>"ALON, Noga; FISCHER, Eldar.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb., Ars Comb. v.", :volume=>"52,", :date=>"1999."}	82.0	-	-	0.000	-	-	-	61	-	-	-	1	-	-	33	35.4	
5ab9b92b25f15f355762ea20	memorias-do-instituto-oswaldo-cruz	Alon N, Fischer E 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:editor=>"Alon N, Fischer E", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	-	1000.0	-	-	0.000	-	-	100.0000	0	-	-	-	1	-	-	33	172.5	
5ab9b92b25f15f355762ea20	veterinary-pathology	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. 1999;52.  	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :date=>"1999;52."}	52.5	-	-	43	-	-	-	-	-	-	-	1	-	-	-	32.166666666666664	
5ab9b92b25f15f355762ea20	the-journal-of-molecular-diagnostics	1.Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb, 1999, 52 	{:author=>"1.Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb,", :date=>"1999,", :pages=>"52"}	47.0	-	-	0.000	-	-	-	11	-	-	-	1	-	-	-	14.75	
5ab9b92b25f15f355762ea20	computer-und-recht	Alon/Fischer, Refining the Graph Density Condition for the Existence of Almost K-factors, 1999 	{:author=>"Alon/Fischer,", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors,", :date=>"1999"}	67.0	-	-	0.000	-	-	-	-	-	-	-	1	-	-	-	22.666666666666668	
5ab9b92b25f15f355762ea20	journal-of-the-american-college-of-cardiology	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 1999;52. 	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :date=>"1999;52."}	52.5	-	-	43	-	-	-	0	-	-	-	1	-	-	-	24.125	
5ab9b92b25f15f355762ea20	revue-d-elevage-et-de-medecine-veterinaire-des-pays-tropicaux	Alon N., Fischer E., 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb., 52 	{:author=>"Alon N., Fischer E.,", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.,", :volume=>"52"}	35.5	-	-	0.000	-	-	-	10	-	-	-	1	-	-	0	9.3	
5ab9b92b25f15f355762ea20	scandinavian-journal-of-work-environment-and-health	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. . 1999;52.  	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :unknown=>".", :date=>"1999;52."}	52.5	-	-	43	-	-	-	0	-	-	-	1	-	-	-	24.125	
5ab9b92b25f15f355762ea20	genome-biology-and-evolution	Alon N, Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon N, Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	harvard-university-of-gloucestershire	Alon, N. & Fischer, E. (1999) Refining the Graph Density Condition for the Existence of Almost K-Factors, Ars Comb. 52  	{:author=>"Alon, N. & Fischer, E.", :date=>"(1999)", :title=>"Refining the Graph Density Condition for the Existence of Almost K-Factors,", :journal=>"Ars Comb.", :volume=>"52"}	53.25	-	-	0.000	-	-	-	0	-	-	-	3	-	-	0	11.25	
5ab9b92b25f15f355762ea20	monash-university-harvard	Alon, N & Fischer, E 1999, ‘Refining the Graph Density Condition for the Existence of Almost K-factors’, Ars Comb., vol. 52 	{:editor=>"Alon, N & Fischer, E", :date=>"1999,", :title=>"‘Refining the Graph Density Condition for the Existence of Almost K-factors’,", :journal=>"Ars Comb.,", :volume=>"vol. 52"}	-	1000.0	-	-	0.000	-	-	100.0000	10	-	-	-	4	-	-	71	181.0	
5ab9b92b25f15f355762ea20	social-cognitive-and-affective-neuroscience	Alon, N., Fischer, E. (1999). Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb., 52 	{:author=>"Alon, N., Fischer, E.", :date=>"(1999).", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.,", :volume=>"52"}	53.25	-	-	0.000	-	-	-	10	-	-	-	1	-	-	0	12.85	
5ab9b92b25f15f355762ea20	the-world-journal-of-biological-psychiatry	Alon N, Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon N, Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	harvard-southampton-solent-university	ALON, N. and E. FISCHER, 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb., 52 	{:author=>"ALON, N. and E. FISCHER,", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.,", :volume=>"52"}	83.5	-	-	0.000	-	-	-	10	-	-	-	1	-	-	0	18.9	
5ab9b92b25f15f355762ea20	the-auk	Alon, N., and E. Fischer (1999). Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon, N., and E. Fischer", :date=>"(1999).", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	51.0	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	17.0	
5ab9b92b25f15f355762ea20	magnetic-resonance-in-medicine	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 1999;52. 	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :date=>"1999;52."}	52.5	-	-	43	-	-	-	0	-	-	-	1	-	-	-	24.125	
5ab9b92b25f15f355762ea20	national-science-foundation-grant-proposals	1. Alon, N. and Fischer, E. “Refining the Graph Density Condition for the Existence of Almost K-Factors” Ars Comb. 52, (1999):  	{:author=>"1. Alon, N. and Fischer, E.", :title=>"“Refining the Graph Density Condition for the Existence of Almost K-Factors”", :journal=>"Ars Comb.", :volume=>"52,", :date=>"( 1999):"}	76.66666666666667	-	-	33	-	-	-	0	-	-	-	4	-	-	33	29.333333333333336	
5ab9b92b25f15f355762ea20	the-journal-of-parasitology	Alon, N., and Fischer, E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon, N., and Fischer, E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	60.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	18.9	
5ab9b92b25f15f355762ea20	biochemical-society-transactions	[1]Alon N, Fischer E. (1999) Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52.  	{:author=>"[1]Alon N, Fischer E.", :date=>"(1999)", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	52.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	17.3	
